study,scenario,method,auc,average_precision,mcc,accuracy,balanced_accuracy,f1_weighted,brier,sensitivity,specificity,ppv,npv,calibration_intercept,calibration_slope
diabetes130_admission,Admission-time 30-day readmission risk stress test,Semantic Veto + SHAP,0.5646492564126826,0.117675447634765,0.0203317938808789,0.911125,0.5014453748006379,0.8703080826263327,0.0802896238892988,0.0042613636363636,0.9986293859649122,0.2307692307692307,0.912232377613622,-1.071714763450624,0.5332129915600269
diabetes130_discharge,Discharge-time 30-day readmission risk prediction,All Features,0.6416460813055975,0.1651641907077881,0.0477066033299765,0.91025,0.5029496513885251,0.8686875155747337,0.0794618199681045,0.0066202090592334,0.9992790937178166,0.475,0.9107947434292866,-0.3651522872015579,0.8272790440987741
diabetes130_discharge,Discharge-time 30-day readmission risk prediction,Availability Gate + SHAP,0.6277809554908849,0.1546849605056612,0.0389269918073048,0.909875,0.5027436781650442,0.8684954484709906,0.0801739041855853,0.0066202090592334,0.9988671472708548,0.3653846153846153,0.9107612370101414,-0.5788823390011776,0.736310565632021
diabetes130_discharge,Discharge-time 30-day readmission risk prediction,LightGBM Gain,0.6102419886343927,0.1407862531541187,0.0286166285162164,0.9099375,0.5016786458875329,0.868110847517002,0.0806426516009304,0.0041811846689895,0.9991761071060762,0.3333333333333333,0.9105869102740584,-0.6909353964442055,0.6881252445170298
diabetes130_discharge,Discharge-time 30-day readmission risk prediction,Mutual Information,0.6212122756213585,0.1527559133897788,0.0408859776516529,0.90975,0.5031461752016373,0.8686083407703049,0.0802839825670055,0.0076655052264808,0.9986268451767936,0.3548387096774194,0.9108272277537728,-0.6189217161689022,0.7219478313491305
diabetes130_discharge,Discharge-time 30-day readmission risk prediction,Oracle Trap Exclusion + SHAP,0.6277809554908849,0.1546849605056612,0.0389269918073048,0.909875,0.5027436781650442,0.8684954484709906,0.0801739041855853,0.0066202090592334,0.9988671472708548,0.3653846153846153,0.9107612370101414,-0.5788823390011776,0.736310565632021
diabetes130_discharge,Discharge-time 30-day readmission risk prediction,PSEUL-Audit,0.6283579855292447,0.1550020187814862,0.0374243690969144,0.909875,0.5025866265724597,0.8684362250047097,0.080140392090699,0.0062717770034843,0.998901476141435,0.36,0.910735524256651,-0.5940763603677133,0.7303314680776825
diabetes130_discharge,Discharge-time 30-day readmission risk prediction,PSEUL-Auto (leakage metadata null),0.6225859088957227,0.1517581250131148,0.0371418278568809,0.90978125,0.5026921848591739,0.8684474263638304,0.0803068232818327,0.0066202090592334,0.9987641606591144,0.3454545454545454,0.9107528564720614,-0.6344436828592843,0.7131201541008084
diabetes130_discharge,Discharge-time 30-day readmission risk prediction,PSEUL-Select,0.6189999055058963,0.1479627804904298,0.0279435126803263,0.90971875,0.5018725980256713,0.8681189869213962,0.0804693485234055,0.0048780487804878,0.9988671472708548,0.2978723404255319,0.9106187212468312,-0.6685335002177333,0.6982704360806257
diabetes130_discharge,Discharge-time 30-day readmission risk prediction,Permutation Importance,0.6257318807556179,0.154595189085139,0.034375493698195,0.91003125,0.502044242378572,0.8682780001424402,0.0801406305249306,0.0048780487804878,0.9992104359766564,0.3783783783783784,0.910646685229797,-0.5781740100853343,0.7355647271797449
diabetes130_discharge,Discharge-time 30-day readmission risk prediction,SHAP Ranking,0.6277809554908849,0.1546849605056612,0.0389269918073048,0.909875,0.5027436781650442,0.8684954484709906,0.0801739041855853,0.0066202090592334,0.9988671472708548,0.3653846153846153,0.9107612370101414,-0.5788823390011776,0.736310565632021
diabetes130_discharge,Discharge-time 30-day readmission risk prediction,Semantic Veto + SHAP,0.6277809554908849,0.1546849605056612,0.0389269918073048,0.909875,0.5027436781650442,0.8684954484709906,0.0801739041855853,0.0066202090592334,0.9988671472708548,0.3653846153846153,0.9107612370101414,-0.5788823390011776,0.736310565632021
